layout_max_items,layout_min_item_size_width,layout_min_item_size_height,layout_item_step,layout_item_rotation_increment,layout_resize_type,layout_scale,layout_margin,layout_name,layout_total_threads,layout_latency,layout_canvas_name,layout_canvas_mode,layout_canvas_background_color,layout_canvas_size_width,layout_canvas_size_height,layout_canvas_reservation_map_csv_filepath,layout_contour_mask_image_filepath,layout_contour_width,layout_contour_color,layout_item_filepath,layout_item_position_x,layout_item_position_y,layout_item_size_width,layout_item_size_height,layout_item_rotated_degrees,layout_item_reserved_position_x,layout_item_reserved_position_y,layout_item_reserved_size_width,layout_item_reserved_size_height,layout_item_reservation_no,layout_item_latency
200,50,50,1,90,MAINTAIN_ASPECT_RATIO,1.0,1,textcloud-import.layout.maximized,64,000H_00M_48S_930MS,textcloud-import.maximized,RGBA,,2814,705,./text-cloud/textcloud-import.maximized.reservation_map.csv,,0.0,black,./text-cloud/7.csv,2263,344,155,30,0,2264,345,153,28,1,000H_00M_00S_000MS
,,,,,,,,,,,,,,,,,,,,./text-cloud/2.csv,838,278,357,68,0,839,279,355,66,2,000H_00M_00S_001MS
,,,,,,,,,,,,,,,,,,,,./text-cloud/10.csv,838,207,971,73,0,839,208,969,71,3,000H_00M_00S_015MS
,,,,,,,,,,,,,,,,,,,,./text-cloud/11.csv,1615,344,650,30,0,1616,345,648,28,4,000H_00M_00S_001MS
,,,,,,,,,,,,,,,,,,,,./text-cloud/1.csv,2416,344,398,81,0,2417,345,396,79,5,000H_00M_00S_006MS
,,,,,,,,,,,,,,,,,,,,./text-cloud/8.csv,315,-1,525,347,0,316,0,523,345,6,000H_00M_00S_003MS
,,,,,,,,,,,,,,,,,,,,./text-cloud/3.csv,2323,423,491,282,0,2324,424,489,280,7,000H_00M_00S_028MS
,,,,,,,,,,,,,,,,,,,,./text-cloud/5.csv,838,-1,971,210,0,839,0,969,208,8,000H_00M_00S_055MS
,,,,,,,,,,,,,,,,,,,,./text-cloud/6.csv,315,408,1302,19,0,316,409,1300,17,9,000H_00M_05S_539MS
,,,,,,,,,,,,,,,,,,,,./text-cloud/9.csv,315,344,1302,66,0,316,345,1300,64,10,000H_00M_04S_713MS
,,,,,,,,,,,,,,,,,,,,./text-cloud/13.csv,1615,372,710,333,0,1616,373,708,331,11,000H_00M_01S_897MS
,,,,,,,,,,,,,,,,,,,,./text-cloud/4.csv,1193,278,1621,68,0,1194,279,1619,66,12,000H_00M_00S_095MS
,,,,,,,,,,,,,,,,,,,,./text-cloud/12.csv,-1,-1,318,706,0,0,0,316,704,13,000H_00M_16S_405MS
,,,,,,,,,,,,,,,,,,,,./text-cloud/14.csv,315,425,1302,280,0,316,426,1300,278,14,000H_00M_20S_002MS
,,,,,,,,,,,,,,,,,,,,./text-cloud/15.csv,1807,-1,1007,281,0,1808,0,1005,279,15,000H_00M_00S_024MS
